language,category,hanzi,literal_translation,meaning
Mandarin,Classic funny / visual,畫蛇添足 / 画蛇添足,draw a snake and add feet,overdo something and ruin it
Cantonese,Classic funny / visual,畫蛇添足 / 画蛇添足,draw a snake and add feet,overdo something and ruin it
Mandarin,Classic funny / visual,對牛彈琴 / 对牛弹琴,play the qin to a cow,speak beautifully or logically to someone who cannot appreciate it
Cantonese,Classic funny / visual,對牛彈琴 / 对牛弹琴,play the qin to a cow,speak beautifully or logically to someone who cannot appreciate it
Mandarin,Classic funny / visual,井底之蛙,frog at the bottom of a well,a narrow-minded person with limited worldview
Cantonese,Classic funny / visual,井底之蛙,frog at the bottom of a well,a narrow-minded person with limited worldview
Mandarin,Classic funny / visual,狐假虎威,the fox borrows the tiger’s power,use someone else’s authority to intimidate others
Cantonese,Classic funny / visual,狐假虎威,the fox borrows the tiger’s power,use someone else’s authority to intimidate others
Mandarin,Classic funny / visual,守株待兔,guard a tree stump waiting for rabbits,wait passively for luck instead of acting
Cantonese,Classic funny / visual,守株待兔,guard a tree stump waiting for rabbits,wait passively for luck instead of acting
Mandarin,Classic funny / visual,掩耳盜鈴 / 掩耳盗铃,cover your ears while stealing a bell,deceive yourself while doing something obviously wrong
Cantonese,Classic funny / visual,掩耳盜鈴 / 掩耳盗铃,cover your ears while stealing a bell,deceive yourself while doing something obviously wrong
Mandarin,Classic funny / visual,杯弓蛇影,a bow reflected in a cup looks like a snake,be frightened by imagined dangers
Cantonese,Classic funny / visual,杯弓蛇影,a bow reflected in a cup looks like a snake,be frightened by imagined dangers
Mandarin,Classic funny / visual,牛頭不對馬嘴 / 牛头不对马嘴,cow head does not match horse mouth,an answer or statement is completely irrelevant
Cantonese,Classic funny / visual,牛頭不對馬嘴 / 牛头不对马嘴,cow head does not match horse mouth,an answer or statement is completely irrelevant
Mandarin,Classic funny / visual,馬馬虎虎 / 马马虎虎,horse horse tiger tiger,so-so; careless; not very precise
Cantonese,Classic funny / visual,馬馬虎虎 / 马马虎虎,horse horse tiger tiger,so-so; careless; not very precise
Mandarin,Classic funny / visual,畫龍點睛 / 画龙点睛,dot the eyes of a painted dragon,add the final brilliant touch that brings something alive
Cantonese,Classic funny / visual,畫龍點睛 / 画龙点睛,dot the eyes of a painted dragon,add the final brilliant touch that brings something alive
Mandarin,Classic funny / visual,刻舟求劍 / 刻舟求剑,mark the boat to find a lost sword,use an outdated or foolish method after conditions changed
Cantonese,Classic funny / visual,刻舟求劍 / 刻舟求剑,mark the boat to find a lost sword,use an outdated or foolish method after conditions changed
Mandarin,Classic funny / visual,葉公好龍 / 叶公好龙,Lord Ye loves dragons,pretend to like something but fear or reject the real thing
Cantonese,Classic funny / visual,葉公好龍 / 叶公好龙,Lord Ye loves dragons,pretend to like something but fear or reject the real thing
Mandarin,Classic funny / visual,黔驢技窮 / 黔驴技穷,the Guizhou donkey has exhausted its tricks,be out of tricks or options
Cantonese,Classic funny / visual,黔驢技窮 / 黔驴技穷,the Guizhou donkey has exhausted its tricks,be out of tricks or options
Mandarin,Classic funny / visual,塞翁失馬 / 塞翁失马,the old man at the frontier lost his horse,bad luck may turn into good luck
Cantonese,Classic funny / visual,塞翁失馬 / 塞翁失马,the old man at the frontier lost his horse,bad luck may turn into good luck
Mandarin,Business / strategy,一箭雙鵰 / 一箭双雕,"one arrow, two eagles",achieve two goals with one action
Cantonese,Business / strategy,一箭雙鵰 / 一箭双雕,"one arrow, two eagles",achieve two goals with one action
Mandarin,Business / strategy,運籌帷幄 / 运筹帷幄,plan strategy inside the command tent,strategize carefully behind the scenes
Cantonese,Business / strategy,運籌帷幄 / 运筹帷幄,plan strategy inside the command tent,strategize carefully behind the scenes
Mandarin,Business / strategy,厚積薄發 / 厚积薄发,"accumulate deeply, release lightly",build a strong foundation before making a powerful move
Cantonese,Business / strategy,厚積薄發 / 厚积薄发,"accumulate deeply, release lightly",build a strong foundation before making a powerful move
Mandarin,Business / strategy,水到渠成,"when water arrives, the channel forms",success follows naturally when conditions are ready
Cantonese,Business / strategy,水到渠成,"when water arrives, the channel forms",success follows naturally when conditions are ready
Mandarin,Business / strategy,事半功倍,"half the work, double the result",high efficiency; excellent leverage
Cantonese,Business / strategy,事半功倍,"half the work, double the result",high efficiency; excellent leverage
Mandarin,Business / strategy,事倍功半,"double the work, half the result",poor efficiency; wasted effort
Cantonese,Business / strategy,事倍功半,"double the work, half the result",poor efficiency; wasted effort
Mandarin,Business / strategy,開源節流 / 开源节流,"open sources, control streams",increase income and reduce expenses
Cantonese,Business / strategy,開源節流 / 开源节流,"open sources, control streams",increase income and reduce expenses
Mandarin,Business / strategy,未雨綢繆 / 未雨绸缪,bind things before it rains,prepare before problems arrive
Cantonese,Business / strategy,未雨綢繆 / 未雨绸缪,bind things before it rains,prepare before problems arrive
Mandarin,Business / strategy,高瞻遠矚 / 高瞻远瞩,look high and gaze far,have long-term vision
Cantonese,Business / strategy,高瞻遠矚 / 高瞻远瞩,look high and gaze far,have long-term vision
Mandarin,Business / strategy,見微知著 / 见微知著,see the tiny and know the obvious,infer big trends from small signs
Cantonese,Business / strategy,見微知著 / 见微知著,see the tiny and know the obvious,infer big trends from small signs
Mandarin,Business / strategy,知己知彼,know yourself and know the other,understand both your own side and your opponent
Cantonese,Business / strategy,知己知彼,know yourself and know the other,understand both your own side and your opponent
Mandarin,Business / strategy,先發制人 / 先发制人,act first to control others,gain the initiative by moving first
Cantonese,Business / strategy,先發制人 / 先发制人,act first to control others,gain the initiative by moving first
Mandarin,Business / strategy,穩紮穩打 / 稳扎稳打,set up firmly and strike steadily,proceed carefully and reliably
Cantonese,Business / strategy,穩紮穩打 / 稳扎稳打,set up firmly and strike steadily,proceed carefully and reliably
Mandarin,Business / strategy,精益求精,refine excellence and seek more excellence,continually improve
Cantonese,Business / strategy,精益求精,refine excellence and seek more excellence,continually improve
Mandarin,Business / strategy,逆水行舟,row a boat against the current,progress requires constant effort
Cantonese,Business / strategy,逆水行舟,row a boat against the current,progress requires constant effort
Mandarin,Startup / ambition,白手起家,start a family/business with bare hands,build something from nothing
Cantonese,Startup / ambition,白手起家,start a family/business with bare hands,build something from nothing
Mandarin,Startup / ambition,乘風破浪 / 乘风破浪,ride the wind and break the waves,move forward boldly through difficulty
Cantonese,Startup / ambition,乘風破浪 / 乘风破浪,ride the wind and break the waves,move forward boldly through difficulty
Mandarin,Startup / ambition,披荊斬棘 / 披荆斩棘,push through thorns and cut brambles,cut through obstacles
Cantonese,Startup / ambition,披荊斬棘 / 披荆斩棘,push through thorns and cut brambles,cut through obstacles
Mandarin,Startup / ambition,破釜沉舟,break the cauldrons and sink the boats,commit fully with no retreat
Cantonese,Startup / ambition,破釜沉舟,break the cauldrons and sink the boats,commit fully with no retreat
Mandarin,Startup / ambition,百折不撓 / 百折不挠,bent a hundred times but never broken,never give up despite setbacks
Cantonese,Startup / ambition,百折不撓 / 百折不挠,bent a hundred times but never broken,never give up despite setbacks
Mandarin,Startup / ambition,東山再起 / 东山再起,rise again from the eastern mountain,make a comeback
Cantonese,Startup / ambition,東山再起 / 东山再起,rise again from the eastern mountain,make a comeback
Mandarin,Startup / ambition,青出於藍 / 青出于蓝,blue comes from indigo,the student surpasses the teacher
Cantonese,Startup / ambition,青出於藍 / 青出于蓝,blue comes from indigo,the student surpasses the teacher
Mandarin,Startup / ambition,一鳴驚人 / 一鸣惊人,one cry astonishes people,become famous with one stunning success
Cantonese,Startup / ambition,一鳴驚人 / 一鸣惊人,one cry astonishes people,become famous with one stunning success
Mandarin,Startup / ambition,脫穎而出 / 脱颖而出,the tip of the awl comes out,stand out from the crowd
Cantonese,Startup / ambition,脫穎而出 / 脱颖而出,the tip of the awl comes out,stand out from the crowd
Mandarin,Startup / ambition,鳳毛麟角 / 凤毛麟角,phoenix feathers and unicorn horns,something extremely rare and precious
Cantonese,Startup / ambition,鳳毛麟角 / 凤毛麟角,phoenix feathers and unicorn horns,something extremely rare and precious
Mandarin,Money / wealth / luck,招財進寶 / 招财进宝,summon wealth and bring in treasure,attract wealth and prosperity
Cantonese,Money / wealth / luck,招財進寶 / 招财进宝,summon wealth and bring in treasure,attract wealth and prosperity
Mandarin,Money / wealth / luck,財源廣進 / 财源广进,wealth sources enter widely,may money flow in from many sources
Cantonese,Money / wealth / luck,財源廣進 / 财源广进,wealth sources enter widely,may money flow in from many sources
Mandarin,Money / wealth / luck,金玉滿堂 / 金玉满堂,gold and jade fill the hall,great wealth and abundance
Cantonese,Money / wealth / luck,金玉滿堂 / 金玉满堂,gold and jade fill the hall,great wealth and abundance
Mandarin,Money / wealth / luck,一本萬利 / 一本万利,"one capital, ten thousand profits",huge profit from small investment
Cantonese,Money / wealth / luck,一本萬利 / 一本万利,"one capital, ten thousand profits",huge profit from small investment
Mandarin,Money / wealth / luck,日進斗金 / 日进斗金,daily bring in a measure of gold,earn a lot of money every day
Cantonese,Money / wealth / luck,日進斗金 / 日进斗金,daily bring in a measure of gold,earn a lot of money every day
Mandarin,Money / wealth / luck,和氣生財 / 和气生财,harmony gives birth to wealth,friendly relations bring business success
Cantonese,Money / wealth / luck,和氣生財 / 和气生财,harmony gives birth to wealth,friendly relations bring business success
Mandarin,Money / wealth / luck,生意興隆 / 生意兴隆,business rises and flourishes,business prospers
Cantonese,Money / wealth / luck,生意興隆 / 生意兴隆,business rises and flourishes,business prospers
Mandarin,Money / wealth / luck,財運亨通 / 财运亨通,wealth luck flows smoothly,good financial fortune
Cantonese,Money / wealth / luck,財運亨通 / 财运亨通,wealth luck flows smoothly,good financial fortune
Mandarin,Money / wealth / luck,八方來財 / 八方来财,wealth comes from eight directions,money comes from everywhere
Cantonese,Money / wealth / luck,八方來財 / 八方来财,wealth comes from eight directions,money comes from everywhere
Mandarin,Money / wealth / luck,富貴吉祥 / 富贵吉祥,"wealth, honor, and auspiciousness",prosperity and good fortune
Cantonese,Money / wealth / luck,富貴吉祥 / 富贵吉祥,"wealth, honor, and auspiciousness",prosperity and good fortune
Mandarin,Wisdom / philosophy,大智若愚,great wisdom seems foolish,true wisdom can appear humble or simple
Cantonese,Wisdom / philosophy,大智若愚,great wisdom seems foolish,true wisdom can appear humble or simple
Mandarin,Wisdom / philosophy,上善若水,highest goodness is like water,"the best virtue is gentle, flexible, and nourishing"
Cantonese,Wisdom / philosophy,上善若水,highest goodness is like water,"the best virtue is gentle, flexible, and nourishing"
Mandarin,Wisdom / philosophy,物極必反 / 物极必反,"when things reach an extreme, they reverse",extremes eventually turn into their opposites
Cantonese,Wisdom / philosophy,物極必反 / 物极必反,"when things reach an extreme, they reverse",extremes eventually turn into their opposites
Mandarin,Wisdom / philosophy,無為而治 / 无为而治,govern by non-action,lead without forcing; Daoist effortless order
Cantonese,Wisdom / philosophy,無為而治 / 无为而治,govern by non-action,lead without forcing; Daoist effortless order
Mandarin,Wisdom / philosophy,知足常樂 / 知足常乐,know enough and always be happy,contentment brings happiness
Cantonese,Wisdom / philosophy,知足常樂 / 知足常乐,know enough and always be happy,contentment brings happiness
Mandarin,Wisdom / philosophy,隨遇而安 / 随遇而安,be at peace with what you encounter,adapt calmly to circumstances
Cantonese,Wisdom / philosophy,隨遇而安 / 随遇而安,be at peace with what you encounter,adapt calmly to circumstances
Mandarin,Wisdom / philosophy,得失隨緣 / 得失随缘,gain and loss follow fate,accept gains and losses calmly
Cantonese,Wisdom / philosophy,得失隨緣 / 得失随缘,gain and loss follow fate,accept gains and losses calmly
Mandarin,Wisdom / philosophy,一念之差,the difference of one thought,a tiny mental choice can change everything
Cantonese,Wisdom / philosophy,一念之差,the difference of one thought,a tiny mental choice can change everything
Mandarin,Wisdom / philosophy,人外有人,"outside people, there are people",there is always someone better
Cantonese,Wisdom / philosophy,人外有人,"outside people, there are people",there is always someone better
Mandarin,Wisdom / philosophy,天外有天,"beyond the sky, there is sky",there is always a higher level
Cantonese,Wisdom / philosophy,天外有天,"beyond the sky, there is sky",there is always a higher level
Mandarin,Aesthetic / tattoo-friendly,無畏 / 无畏,without fear,fearless
Cantonese,Aesthetic / tattoo-friendly,無畏 / 无畏,without fear,fearless
Mandarin,Aesthetic / tattoo-friendly,自在,self-existing / freely present,"free, relaxed, at ease"
Cantonese,Aesthetic / tattoo-friendly,自在,self-existing / freely present,"free, relaxed, at ease"
Mandarin,Aesthetic / tattoo-friendly,逍遙 / 逍遥,wander freely,carefree freedom
Cantonese,Aesthetic / tattoo-friendly,逍遙 / 逍遥,wander freely,carefree freedom
Mandarin,Aesthetic / tattoo-friendly,靜心 / 静心,quiet heart,calm mind
Cantonese,Aesthetic / tattoo-friendly,靜心 / 静心,quiet heart,calm mind
Mandarin,Aesthetic / tattoo-friendly,清風 / 清风,clear breeze,"freshness, calm, elegance"
Cantonese,Aesthetic / tattoo-friendly,清風 / 清风,clear breeze,"freshness, calm, elegance"
Mandarin,Aesthetic / tattoo-friendly,明月,bright moon,"clarity, beauty, poetic calm"
Cantonese,Aesthetic / tattoo-friendly,明月,bright moon,"clarity, beauty, poetic calm"
Mandarin,Aesthetic / tattoo-friendly,山海,mountains and seas,vast nature; distance and grandeur
Cantonese,Aesthetic / tattoo-friendly,山海,mountains and seas,vast nature; distance and grandeur
Mandarin,Aesthetic / tattoo-friendly,星河,river of stars,Milky Way; cosmic beauty
Cantonese,Aesthetic / tattoo-friendly,星河,river of stars,Milky Way; cosmic beauty
Mandarin,Aesthetic / tattoo-friendly,浮生,floating life,fleeting human life
Cantonese,Aesthetic / tattoo-friendly,浮生,floating life,fleeting human life
Mandarin,Aesthetic / tattoo-friendly,夢醒 / 梦醒,dream awakening,waking from illusion
Cantonese,Aesthetic / tattoo-friendly,夢醒 / 梦醒,dream awakening,waking from illusion
Mandarin,Aesthetic / tattoo-friendly,風骨 / 风骨,wind and bones,"integrity, noble character, inner strength"
Cantonese,Aesthetic / tattoo-friendly,風骨 / 风骨,wind and bones,"integrity, noble character, inner strength"
Mandarin,Aesthetic / tattoo-friendly,赤心,red heart,sincere and loyal heart
Cantonese,Aesthetic / tattoo-friendly,赤心,red heart,sincere and loyal heart
Mandarin,Aesthetic / tattoo-friendly,知行合一,knowledge and action become one,act according to what you know
Cantonese,Aesthetic / tattoo-friendly,知行合一,knowledge and action become one,act according to what you know
Mandarin,Aesthetic / tattoo-friendly,心如止水,heart like still water,a mind completely calm
Cantonese,Aesthetic / tattoo-friendly,心如止水,heart like still water,a mind completely calm
Mandarin,Aesthetic / tattoo-friendly,雲淡風輕 / 云淡风轻,"clouds pale, wind light",calm detachment and ease
Cantonese,Aesthetic / tattoo-friendly,雲淡風輕 / 云淡风轻,"clouds pale, wind light",calm detachment and ease
Mandarin,Aesthetic / tattoo-friendly,海納百川 / 海纳百川,the sea accepts a hundred rivers,open-mindedness and tolerance
Cantonese,Aesthetic / tattoo-friendly,海納百川 / 海纳百川,the sea accepts a hundred rivers,open-mindedness and tolerance
Mandarin,Love / friendship,一見鍾情 / 一见钟情,one look and feelings gather,love at first sight
Cantonese,Love / friendship,一見鍾情 / 一见钟情,one look and feelings gather,love at first sight
Mandarin,Love / friendship,情投意合,feelings fit and intentions match,be emotionally compatible
Cantonese,Love / friendship,情投意合,feelings fit and intentions match,be emotionally compatible
Mandarin,Love / friendship,青梅竹馬 / 青梅竹马,green plums and bamboo horses,childhood sweethearts
Cantonese,Love / friendship,青梅竹馬 / 青梅竹马,green plums and bamboo horses,childhood sweethearts
Mandarin,Love / friendship,海誓山盟,sea oath and mountain vow,eternal vows of love
Cantonese,Love / friendship,海誓山盟,sea oath and mountain vow,eternal vows of love
Mandarin,Love / friendship,天作之合,a union made by heaven,a perfect match
Cantonese,Love / friendship,天作之合,a union made by heaven,a perfect match
Mandarin,Love / friendship,心心相印,heart and heart imprint each other,deep mutual understanding
Cantonese,Love / friendship,心心相印,heart and heart imprint each other,deep mutual understanding
Mandarin,Love / friendship,相濡以沫,moisten each other with foam,support each other through hardship
Cantonese,Love / friendship,相濡以沫,moisten each other with foam,support each other through hardship
Mandarin,Love / friendship,白頭偕老 / 白头偕老,white-haired together in old age,grow old together
Cantonese,Love / friendship,白頭偕老 / 白头偕老,white-haired together in old age,grow old together
Mandarin,Love / friendship,如膠似漆 / 如胶似漆,like glue and lacquer,inseparable
Cantonese,Love / friendship,如膠似漆 / 如胶似漆,like glue and lacquer,inseparable
Mandarin,Historic / literary,臥薪嘗膽 / 卧薪尝胆,sleep on brushwood and taste gall,endure hardship to achieve revenge or success
Cantonese,Historic / literary,臥薪嘗膽 / 卧薪尝胆,sleep on brushwood and taste gall,endure hardship to achieve revenge or success
Mandarin,Historic / literary,三顧茅廬 / 三顾茅庐,visit the thatched cottage three times,sincerely seek out talent or advice
Cantonese,Historic / literary,三顧茅廬 / 三顾茅庐,visit the thatched cottage three times,sincerely seek out talent or advice
Mandarin,Historic / literary,草船借箭,borrow arrows with straw boats,win through clever strategy
Cantonese,Historic / literary,草船借箭,borrow arrows with straw boats,win through clever strategy
Mandarin,Historic / literary,空城計 / 空城计,empty city stratagem,bluff calmly in a dangerous situation
Cantonese,Historic / literary,空城計 / 空城计,empty city stratagem,bluff calmly in a dangerous situation
Mandarin,Historic / literary,望梅止渴,look at plums to stop thirst,comfort oneself with imagination
Cantonese,Historic / literary,望梅止渴,look at plums to stop thirst,comfort oneself with imagination
Mandarin,Historic / literary,四面楚歌,Chu songs on all four sides,be surrounded by enemies or hopeless pressure
Cantonese,Historic / literary,四面楚歌,Chu songs on all four sides,be surrounded by enemies or hopeless pressure
Mandarin,Historic / literary,指鹿為馬 / 指鹿为马,point at a deer and call it a horse,deliberate political manipulation of truth
Cantonese,Historic / literary,指鹿為馬 / 指鹿为马,point at a deer and call it a horse,deliberate political manipulation of truth
Mandarin,Historic / literary,完璧歸趙 / 完璧归赵,return the jade intact to Zhao,return something safely and intact
Cantonese,Historic / literary,完璧歸趙 / 完璧归赵,return the jade intact to Zhao,return something safely and intact
Mandarin,Historic / literary,負荊請罪 / 负荆请罪,carry thorn branches to ask punishment,make a humble apology
Cantonese,Historic / literary,負荊請罪 / 负荆请罪,carry thorn branches to ask punishment,make a humble apology
Mandarin,Historic / literary,紙上談兵 / 纸上谈兵,discuss warfare on paper,theory without practical ability
Cantonese,Historic / literary,紙上談兵 / 纸上谈兵,discuss warfare on paper,theory without practical ability
Mandarin,Historic / literary,東施效顰 / 东施效颦,Dongshi imitates a frown,awkward imitation that backfires
